product	category
SMCOG1238	other
SMCOG1239	regulatory
SMCOG1240	biosynthetic
SMCOG1241	other
SMCOG1242	other
SMCOG1243	transporter
SMCOG1244	biosynthetic
SMCOG1245	other
SMCOG1246	biosynthetic
SMCOG1247	biosynthetic
SMCOG1248	biosynthetic
SMCOG1249	biosynthetic
SMCOG1250	other
SMCOG1251	other
SMCOG1252	transporter
SMCOG1253	other
SMCOG1254	transporter
SMCOG1255	regulatory
SMCOG1256	biosynthetic
SMCOG1257	biosynthetic
SMCOG1258	biosynthetic
SMCOG1259	other
SMCOG1260	regulatory
SMCOG1261	other
SMCOG1262	biosynthetic
SMCOG1263	biosynthetic
SMCOG1264	biosynthetic
SMCOG1265	other
SMCOG1266	regulatory
SMCOG1267	other
SMCOG1268	biosynthetic
SMCOG1269	other
SMCOG1270	biosynthetic
SMCOG1271	biosynthetic
SMCOG1272	other
SMCOG1273	other
SMCOG1274	biosynthetic
SMCOG1275	biosynthetic
SMCOG1276	biosynthetic
SMCOG1277	other
SMCOG1278	regulatory
SMCOG1279	biosynthetic
SMCOG1280	biosynthetic
SMCOG1281	other
SMCOG1282	transporter
SMCOG1283	biosynthetic
SMCOG1284	regulatory
SMCOG1285	other
SMCOG1286	other
SMCOG1287	regulatory
SMCOG1288	transporter
SMCOG1289	other
SMCOG1290	transporter
SMCOG1291	biosynthetic
SMCOG1292	other
SMCOG1293	biosynthetic
SMCOG1294	biosynthetic
SMCOG1295	other
SMCOG1296	other
SMCOG1297	biosynthetic
SMCOG1298	biosynthetic
SMCOG1299	other
SMCOG1300	other
